date,time,speed,lane,auto
2020-10-06,10:45:21,20,0,0
2020-10-06,10:45:21,21,0,0
2020-10-06,10:45:22,23,0,0
2020-10-06,10:45:22,24,0,0
2020-10-06,10:45:22,25,0,0
2020-10-06,10:45:22,21,0,0
2020-10-06,10:45:23,27,0,0
2020-10-06,10:45:23,28,0,0
2020-10-06,10:45:23,29,0,0
2020-10-06,10:45:24,29,0,0
2020-10-06,10:45:24,30,0,0
2020-10-06,10:45:24,31,0,0
2020-10-06,10:45:25,32,0,0
2020-10-06,10:45:25,33,0,0
2020-10-06,10:45:25,33,0,0
2020-10-06,10:45:26,34,0,0
2020-10-06,10:45:26,35,0,0
2020-10-06,10:45:26,35,0,0
2020-10-06,10:45:27,31,0,0
2020-10-06,10:45:27,31,0,0
2020-10-06,10:45:27,37,0,0
2020-10-06,10:45:28,38,0,0
2020-10-06,10:45:28,38,0,0
2020-10-06,10:45:28,39,0,0
2020-10-06,10:45:29,89,0,0
2020-10-06,10:45:29,40,0,0
2020-10-06,10:45:29,40,0,0
2020-10-06,10:45:30,41,0,0
2020-10-06,10:45:30,42,0,0
2020-10-06,10:45:30,42,0,0
2020-10-06,10:45:31,42,0,0
2020-10-06,10:45:31,43,0,0
2020-10-06,10:45:32,43,0,0
2020-10-06,10:45:32,43,0,0
2020-10-06,10:45:32,43,0,0
2020-10-06,10:45:32,43,0,0
2020-10-06,10:45:33,4,0,0
2020-10-06,10:45:33,4,0,0
2020-10-06,10:45:33,4,0,0
2020-10-06,10:45:34,4,0,0
2020-10-06,10:45:34,4,0,0
2020-10-06,10:45:34,4,0,0
2020-10-06,10:45:35,4,0,0
2020-10-06,10:45:35,4,0,0
2020-10-06,10:45:36,4,0,0
2020-10-06,10:45:36,44,0,0
2020-10-06,10:45:36,44,0,0
2020-10-06,10:45:37,4,0,0
2020-10-06,10:45:37,45,0,0
2020-10-06,10:45:37,45,0,0
2020-10-06,10:45:38,45,0,0
2020-10-06,10:45:38,45,0,0
2020-10-06,10:45:38,45,0,0
2020-10-06,10:45:38,45,0,0
2020-10-06,10:45:39,4,0,0
2020-10-06,10:45:39,4,0,0
2020-10-06,10:45:39,44,0,0
2020-10-06,10:45:40,43,0,0
2020-10-06,10:45:40,43,0,0
2020-10-06,10:45:41,43,0,0
2020-10-06,10:45:41,42,0,0
2020-10-06,10:45:41,42,0,0
2020-10-06,10:45:42,42,0,0
