date_time,speed,lane,auto
2020-10-1516:17:19,8,0,0
2020-10-1516:17:20,8,0,0
2020-10-1516:17:21,,0,0
2020-10-1516:17:22,12,0,0
2020-10-1516:17:23,,0,0
2020-10-1516:17:24,,0,0
2020-10-1516:17:25,26,0,0
2020-10-1516:17:26,,0,0
2020-10-1516:17:27,,0,0
2020-10-1516:17:27,,0,0
2020-10-1516:17:28,7,0,0
2020-10-1516:17:29,26,0,0
2020-10-1516:17:30,3,0,0
2020-10-1516:17:31,,0,0
2020-10-1516:17:32,,0,0
2020-10-1516:17:33,,0,0
2020-10-1516:17:34,,0,0
2020-10-1516:17:35,,0,0
2020-10-1516:17:36,,0,0
2020-10-1516:17:37,35,0,0
2020-10-1516:17:38,,0,0
2020-10-1516:17:39,40,0,0
2020-10-1516:17:40,42,0,0
2020-10-1516:17:41,45,0,0
2020-10-1516:17:42,4,0,0
2020-10-1516:17:43,,0,0
2020-10-1516:17:43,,0,0
2020-10-1516:17:44,48,0,0
2020-10-1516:17:45,4,0,0
2020-10-1516:17:46,,0,0
2020-10-1516:17:47,50,0,0
2020-10-1516:17:48,50,0,0
2020-10-1516:17:49,50,0,0
2020-10-1516:17:50,,0,0
2020-10-1516:17:51,,0,0
2020-10-1516:17:52,47,0,0
2020-10-1516:17:53,,0,0
2020-10-1516:17:54,40,0,0
2020-10-1516:17:55,,0,0
2020-10-1516:17:56,29,0,0
2020-10-1516:17:57,23,0,0
2020-10-1516:17:58,17,0,0
2020-10-1516:17:58,,0,0
2020-10-1516:17:59,8,0,0
2020-10-1516:18:00,8,0,0
2020-10-1516:18:01,13,0,0
2020-10-1516:18:02,17,0,0
2020-10-1516:18:03,22,0,0
2020-10-1516:18:04,,0,0
2020-10-1516:18:05,,0,0
2020-10-1516:18:06,,0,0
2020-10-1516:18:07,21,0,0
2020-10-1516:18:08,,0,0
2020-10-1516:18:09,,0,0
2020-10-1516:18:10,,0,0
2020-10-1516:18:11,,0,0
2020-10-1516:18:12,,0,0
2020-10-1516:18:12,,0,0
2020-10-1516:18:13,17,0,0
2020-10-1516:18:14,20,0,0
2020-10-1516:18:15,,0,0
2020-10-1516:18:16,27,0,0
2020-10-1516:18:17,29,0,0
2020-10-1516:18:18,30,0,0
2020-10-1516:18:19,18,0,0
2020-10-1516:18:20,18,0,0
2020-10-1516:18:21,,0,0
2020-10-1516:18:22,18,0,0
2020-10-1516:18:23,,0,0
2020-10-1516:18:24,,0,0
2020-10-1516:18:25,,0,0
2020-10-1516:18:26,,0,0
2020-10-1516:18:27,,0,0
2020-10-1516:18:28,,0,0
2020-10-1516:18:28,,0,0
2020-10-1516:18:29,39,0,0
2020-10-1516:18:30,,0,0
2020-10-1516:18:31,,0,0
2020-10-1516:18:32,46,0,0
2020-10-1516:18:33,,0,0
2020-10-1516:18:34,,0,0
2020-10-1516:18:35,,0,0
2020-10-1516:18:36,,0,0
2020-10-1516:18:37,,0,0
2020-10-1516:18:38,,0,0
2020-10-1516:18:39,,0,0
2020-10-1516:18:40,,0,0
2020-10-1516:18:41,,0,0
2020-10-1516:18:42,,0,0
2020-10-1516:18:42,60,1,1
2020-10-1516:18:43,,1,1
2020-10-1516:18:44,61,1,1
2020-10-1516:18:45,,1,1
2020-10-1516:18:46,,1,1
2020-10-1516:18:47,,1,1
2020-10-1516:18:48,60,1,0
2020-10-1516:18:49,62,1,0
2020-10-1516:18:50,,1,1
2020-10-1516:18:51,,1,1
2020-10-1516:18:52,,1,1
2020-10-1516:18:53,,1,1
2020-10-1516:18:54,,1,1
2020-10-1516:18:55,,1,1
2020-10-1516:18:56,,1,1
2020-10-1516:18:57,60,1,1
2020-10-1516:18:58,,1,1
2020-10-1516:18:58,,1,0
2020-10-1516:18:59,,0,0
2020-10-1516:19:00,,0,0
2020-10-1516:19:01,,0,0
2020-10-1516:19:02,46,0,0
2020-10-1516:19:03,,0,0
2020-10-1516:19:04,43,0,0
2020-10-1516:19:04,42,0,0
2020-10-1516:19:06,42,0,0
2020-10-1516:19:06,,0,0
2020-10-1516:19:07,,0,0
2020-10-1516:19:08,40,0,0
2020-10-1516:19:09,8,0,0
2020-10-1516:19:10,40,0,0
2020-10-1516:19:11,40,0,0
2020-10-1516:19:12,40,0,0
2020-10-1516:19:13,,0,0
2020-10-1516:19:14,4,0,0
2020-10-1516:19:15,42,0,0
2020-10-1516:19:16,,0,0
2020-10-1516:19:17,,0,0
2020-10-1516:19:18,46,0,0
2020-10-1516:19:19,46,0,0
2020-10-1516:19:20,46,0,0
2020-10-1516:19:21,44,0,0
2020-10-1516:19:21,40,0,0
2020-10-1516:19:22,,0,0
2020-10-1516:19:23,28,0,0
2020-10-1516:19:24,,0,0
2020-10-1516:19:25,,0,0
2020-10-1516:19:26,,0,0
2020-10-1516:19:27,15,0,0
2020-10-1516:19:28,,0,0
2020-10-1516:19:29,12,0,0
2020-10-1516:19:30,,0,0
2020-10-1516:19:31,,0,0
2020-10-1516:19:32,,0,0
2020-10-1516:19:33,0,0,0
2020-10-1516:19:34,,0,0
2020-10-1516:19:34,,0,0
2020-10-1516:19:35,,0,0
2020-10-1516:19:36,,0,0
2020-10-1516:19:37,15,0,0
2020-10-1516:19:38,15,0,0
2020-10-1516:19:39,,0,0
2020-10-1516:19:40,,0,0
2020-10-1516:19:41,,0,0
2020-10-1516:19:42,,0,0
2020-10-1516:19:43,,0,0
2020-10-1516:19:44,,0,0
2020-10-1516:19:45,,0,0
2020-10-1516:19:46,20,0,0
2020-10-1516:19:47,20,0,0
2020-10-1516:19:48,21,0,0
2020-10-1516:19:49,22,0,0
2020-10-1516:19:50,24,0,0
2020-10-1516:19:50,4,0,0
2020-10-1516:19:51,28,0,0
2020-10-1516:19:52,18,0,0
2020-10-1516:19:53,,0,0
2020-10-1516:19:54,,0,0
2020-10-1516:19:55,,0,0
2020-10-1516:19:56,,0,0
2020-10-1516:19:57,,0,0
2020-10-1516:19:58,,0,0
2020-10-1516:19:59,,0,0
2020-10-1516:20:00,27,0,0
2020-10-1516:20:01,40,0,0
2020-10-1516:20:02,,0,0
2020-10-1516:20:03,22,0,0
2020-10-1516:20:04,,0,0
2020-10-1516:20:05,13,0,0
2020-10-1516:20:05,12,0,0
2020-10-1516:20:06,1,0,0
2020-10-1516:20:07,1,0,0
2020-10-1516:20:08,1,0,0
2020-10-1516:20:09,1,0,0
2020-10-1516:20:10,,0,0
2020-10-1516:20:11,,0,0
2020-10-1516:20:12,12,0,0
2020-10-1516:20:13,11,0,0
2020-10-1516:20:14,1,0,0
2020-10-1516:20:15,,0,0
2020-10-1516:20:16,15,0,0
2020-10-1516:20:17,,0,0
2020-10-1516:20:18,,0,0
2020-10-1516:20:19,,0,0
2020-10-1516:20:20,0,0,0
2020-10-1516:20:20,0,0,0
2020-10-1516:20:21,,0,0
2020-10-1516:20:22,,0,0
2020-10-1516:20:23,4,0,0
2020-10-1516:20:24,4,0,0
2020-10-1516:20:25,,0,0
2020-10-1516:20:26,36,0,0
2020-10-1516:20:27,40,0,0
2020-10-1516:20:28,46,0,0
2020-10-1516:20:29,,0,0
2020-10-1516:20:30,,0,0
2020-10-1516:20:31,62,1,1
2020-10-1516:20:32,,1,0
2020-10-1516:20:33,65,0,0
2020-10-1516:20:34,66,1,0
2020-10-1516:20:34,,1,0
2020-10-1516:20:35,,1,0
2020-10-1516:20:36,,1,0
