date_time,speed,lane,auto
2020-10-1514:49:01,,1,1
2020-10-1514:49:02,7,1,1
2020-10-1514:49:03,48,1,1
2020-10-1514:49:04,,1,1
2020-10-1514:49:05,,1,1
2020-10-1514:49:06,75,1,1
2020-10-1514:49:07,78,1,1
2020-10-1514:49:08,,1,1
2020-10-1514:49:09,83,1,1
2020-10-1514:49:10,83,1,0
2020-10-1514:49:11,83,1,1
2020-10-1514:49:12,83,1,1
2020-10-1514:49:13,83,1,1
2020-10-1514:49:14,3,1,1
2020-10-1514:49:15,85,1,1
2020-10-1514:49:16,86,1,1
2020-10-1514:49:17,86,1,1
2020-10-1514:49:18,86,1,1
2020-10-1514:49:19,87,1,1
2020-10-1514:49:20,87,1,1
2020-10-1514:49:21,88,1,1
2020-10-1514:49:22,87,1,1
2020-10-1514:49:23,86,1,1
2020-10-1514:49:24,85,1,1
2020-10-1514:49:25,86,1,1
2020-10-1514:49:26,86,1,1
2020-10-1514:49:27,86,1,1
2020-10-1514:49:268,,1,1
2020-10-1514:49:29,,1,1
2020-10-1514:49:30,,1,1
2020-10-1514:49:31,,1,1
2020-10-1514:49:32,,1,1
2020-10-1514:49:33,,1,1
2020-10-1514:49:34,80,1,1
2020-10-1514:49:35,80,1,1
2020-10-1514:49:36,80,1,1
2020-10-1514:49:37,80,1,1
2020-10-1514:49:38,80,1,1
2020-10-1514:49:39,80,1,1
2020-10-1514:49:40,80,1,1
2020-10-1514:49:41,80,1,1
2020-10-1514:49:42,80,1,1
2020-10-1514:49:43,80,1,1
2020-10-1514:49:44,,1,1
2020-10-1514:49:45,,1,1
2020-10-1514:49:46,,1,1
2020-10-1514:49:47,78,1,1
2020-10-1514:49:46,,1,1
2020-10-1514:49:49,75,1,1
2020-10-1514:49:50,,1,0
2020-10-1514:49:51,4,1,0
2020-10-1514:49:52,4,1,0
2020-10-1514:49:53,70,1,1
2020-10-1514:49:54,69,1,1
2020-10-1514:49:55,69,1,1
2020-10-1514:49:56,69,1,1
2020-10-1514:49:57,46,1,1
2020-10-1514:49:58,70,1,1
2020-10-1514:49:59,,1,1
2020-10-1514:50:00,,1,1
2020-10-1514:50:01,,1,1
2020-10-1514:50:02,4,1,1
2020-10-1514:50:03,4,1,1
2020-10-1514:50:04,4,1,1
2020-10-1514:50:05,4,1,1
2020-10-1514:50:06,,1,1
2020-10-1514:50:07,70,1,1
2020-10-1514:50:08,69,1,1
2020-10-1514:50:09,68,1,1
2020-10-1514:50:10,4,1,1
2020-10-1514:50:11,66,1,1
2020-10-1514:50:12,64,1,1
2020-10-1514:50:13,63,1,1
2020-10-1514:50:14,4,1,1
2020-10-1514:50:15,61,1,1
2020-10-1514:50:16,60,1,1
2020-10-1514:50:17,4,1,1
2020-10-1514:50:18,,1,0
2020-10-1514:50:19,53,0,0
2020-10-1514:50:20,,0,0
2020-10-1514:50:21,218,0,0
2020-10-1514:50:22,50,0,0
2020-10-1514:50:23,51,0,0
2020-10-1514:50:24,95,0,0
2020-10-1514:50:25,,0,0
2020-10-1514:50:26,62,1,1
2020-10-1514:50:27,63,1,1
2020-10-1514:50:28,65,1,1
