date_time,speed,lane ,auto
2020-10-1516:08:45,,1,1
2020-10-1516:08:45,,1,1
2020-10-1516:08:45,,1,1
2020-10-1516:08:46,,1,1
2020-10-1516:08:46,74,1,1
2020-10-1516:08:46,,1,1
2020-10-1516:08:47,,1,1
2020-10-1516:08:47,,1,1
2020-10-1516:08:47,72,1,1
2020-10-1516:08:486,72,1,1
2020-10-1516:08:486,,1,1
2020-10-1516:08:49,70,1,1
2020-10-1516:08:49,,1,1
2020-10-1516:08:49,,1,1
2020-10-1516:08:49,,1,1
2020-10-1516:08:50,,1,1
2020-10-1516:08:50,,1,1
2020-10-1516:08:50,67,1,1
2020-10-1516:08:51,67,1,1
2020-10-1516:08:51,67,1,1
2020-10-1516:08:51,,1,1
2020-10-1516:08:52,,1,1
2020-10-1516:08:52,,1,1
2020-10-1516:08:52,,1,1
2020-10-1516:08:53,,1,1
2020-10-1516:08:53,,1,1
2020-10-1516:08:53,,1,1
2020-10-1516:08:54,,1,1
2020-10-1516:08:54,,1,1
2020-10-1516:08:54,,1,1
2020-10-1516:08:55,,1,1
2020-10-1516:08:55,68,1,1
2020-10-1516:08:55,68,1,1
2020-10-1516:08:56,,1,1
2020-10-1516:08:56,70,1,1
2020-10-1516:08:56,,1,1
2020-10-1516:08:56,,1,1
2020-10-1516:08:57,,1,1
2020-10-1516:08:57,,1,1
2020-10-1516:08:57,,1,1
2020-10-1516:08:58,,1,1
2020-10-1516:08:58,77,1,1
2020-10-1516:08:58,77,1,1
2020-10-1516:08:59,,1,1
2020-10-1516:08:59,79,1,1
2020-10-1516:08:59,80,1,1
2020-10-1516:09:00,80,1,1
2020-10-1516:09:00,80,1,1
2020-10-1516:09:00,,1,1
2020-10-1516:09:01,,1,1
2020-10-1516:09:01,82,1,1
2020-10-1516:09:01,82,1,1
2020-10-1516:09:02,82,1,1
2020-10-1516:09:02,83,1,1
2020-10-1516:09:02,83,1,1
2020-10-1516:09:03,83,1,1
2020-10-1516:09:03,84,1,1
2020-10-1516:09:03,84,1,1
2020-10-1516:09:04,85,1,1
2020-10-1516:09:04,,1,1
2020-10-1516:09:04,,1,1
2020-10-1516:09:05,86,1,1
2020-10-1516:09:05,86,1,1
2020-10-1516:09:05,,1,1
2020-10-1516:09:06,87,1,1
2020-10-1516:09:06,,1,1
2020-10-1516:09:06,6,1,1
2020-10-1516:09:07,,1,1
2020-10-1516:09:07,,1,1
2020-10-1516:09:07,,1,1
2020-10-1516:09:08,,1,1
2020-10-1516:09:08,,1,1
2020-10-1516:09:08,,1,1
2020-10-1516:09:09,,1,1
2020-10-1516:09:09,,1,1
2020-10-1516:09:09,,1,1
2020-10-1516:09:10,88,1,1
2020-10-1516:09:10,,1,1
2020-10-1516:09:10,,1,1
2020-10-1516:09:11,,1,1
2020-10-1516:09:11,,1,1
2020-10-1516:09:11,,1,1
2020-10-1516:09:12,,1,1
2020-10-1516:09:12,,1,1
2020-10-1516:09:12,89,1,1
2020-10-1516:09:13,,1,1
2020-10-1516:09:13,,1,1
2020-10-1516:09:13,,1,1
2020-10-1516:09:14,,1,1
2020-10-1516:09:14,,1,1
2020-10-1516:09:14,,1,1
2020-10-1516:09:15,4,1,1
2020-10-1516:09:15,4,1,1
2020-10-1516:09:15,,1,1
2020-10-1516:09:16,,1,1
2020-10-1516:09:16,,1,1
2020-10-1516:09:16,4,1,1
2020-10-1516:09:17,4,1,1
2020-10-1516:09:17,89,1,1
2020-10-1516:09:17,89,1,1
2020-10-1516:09:18,89,1,1
2020-10-1516:09:18,88,1,1
2020-10-1516:09:18,,1,1
2020-10-1516:09:19,,1,1
2020-10-1516:09:19,,1,1
2020-10-1516:09:19,87,1,1
2020-10-1516:09:20,87,1,1
2020-10-1516:09:20,87,1,1
2020-10-1516:09:20,87,1,1
2020-10-1516:09:21,87,1,1
2020-10-1516:09:21,87,1,1
2020-10-1516:09:21,,1,1
2020-10-1516:09:22,,1,1
2020-10-1516:09:22,86,1,1
2020-10-1516:09:22,86,1,1
2020-10-1516:09:23,86,1,1
2020-10-1516:09:23,86,1,1
2020-10-1516:09:23,86,1,1
2020-10-1516:09:24,86,1,1
2020-10-1516:09:24,85,1,1
2020-10-1516:09:24,85,1,1
2020-10-1516:09:25,84,1,1
2020-10-1516:09:25,84,1,1
2020-10-1516:09:25,,1,1
2020-10-1516:09:26,,1,1
2020-10-1516:09:26,,1,1
2020-10-1516:09:26,,1,1
2020-10-1516:09:27,,1,1
2020-10-1516:09:27,,1,1
2020-10-1516:09:27,,1,1
2020-10-1516:09:28,,1,1
2020-10-1516:09:28,,1,1
2020-10-1516:09:28,84,1,1
2020-10-1516:09:29,84,1,1
2020-10-1516:09:29,,1,1
2020-10-1516:09:29,84,1,1
2020-10-1516:09:30,84,1,1
2020-10-1516:09:30,84,1,1
2020-10-1516:09:30,84,1,1
2020-10-1516:09:31,,1,1
2020-10-1516:09:31,,1,1
2020-10-1516:09:31,,1,1
2020-10-1516:09:32,,1,1
2020-10-1516:09:32,86,1,1
2020-10-1516:09:32,86,1,1
2020-10-1516:09:33,,1,1
2020-10-1516:09:33,,1,1
2020-10-1516:09:33,,1,1
2020-10-1516:09:34,,1,1
2020-10-1516:09:34,89,1,1
2020-10-1516:09:34,89,1,1
2020-10-1516:09:35,89,1,1
2020-10-1516:09:35,89,1,1
2020-10-1516:09:35,,1,1
2020-10-1516:09:36,8,1,1
2020-10-1516:09:36,,1,1
2020-10-1516:09:36,4,1,1
2020-10-1516:09:37,,1,1
2020-10-1516:09:37,91,1,1
2020-10-1516:09:37,,1,1
2020-10-1516:09:38,,1,1
2020-10-1516:09:38,,1,1
2020-10-1516:09:38,,1,1
2020-10-1516:09:39,,1,1
2020-10-1516:09:39,,1,1
2020-10-1516:09:39,,1,1
2020-10-1516:09:40,,1,1
2020-10-1516:09:40,94,1,1
2020-10-1516:09:40,94,1,1
2020-10-1516:09:41,94,1,1
2020-10-1516:09:41,95,1,1
2020-10-1516:09:41,95,1,1
2020-10-1516:09:42,96,1,1
2020-10-1516:09:42,97,1,1
2020-10-1516:09:42,97,1,1
2020-10-1516:09:43,97,1,1
2020-10-1516:09:43,98,1,1
2020-10-1516:09:43,98,1,1
2020-10-1516:09:44,98,1,1
2020-10-1516:09:44,,1,1
2020-10-1516:09:44,,1,1
2020-10-1516:09:45,,1,1
2020-10-1516:09:45,99,1,1
2020-10-1516:09:45,,1,1
2020-10-1516:09:46,,1,1
2020-10-1516:09:46,,1,1
2020-10-1516:09:46,,1,1
2020-10-1516:09:47,98,1,1
