date_time,speed,lane,auto
2020-10-1515:38:55,90,1,1
2020-10-1515:38:55,90,1,1
2020-10-1515:38:56,90,1,1
2020-10-1515:38:56,90,1,1
2020-10-1515:38:56,90,1,1
2020-10-1515:38:57,90,1,1
2020-10-1515:38:57,90,1,1
2020-10-1515:38:57,90,1,1
2020-10-1515:38:58,90,1,1
2020-10-1515:38:58,90,1,1
2020-10-1515:38:58,90,1,1
2020-10-1515:38:59,8,1,1
2020-10-1515:38:59,89,1,1
2020-10-1515:38:59,89,1,1
2020-10-1515:39:00,89,1,1
2020-10-1515:39:00,88,1,1
2020-10-1515:39:00,87,1,1
2020-10-1515:39:01,,1,1
2020-10-1515:39:01,,1,1
2020-10-1515:39:01,86,1,1
2020-10-1515:39:01,86,1,1
2020-10-1515:39:02,85,1,1
2020-10-1515:39:02,85,1,1
2020-10-1515:39:02,84,1,1
2020-10-1515:39:03,84,1,1
2020-10-1515:39:03,83,1,1
2020-10-1515:39:03,83,1,1
2020-10-1515:39:04,83,1,1
2020-10-1515:39:04,83,1,1
2020-10-1515:39:04,83,1,1
2020-10-1515:39:05,83,1,1
2020-10-1515:39:05,83,1,1
2020-10-1515:39:05,83,1,1
2020-10-1515:39:06,83,1,1
2020-10-1515:39:06,84,1,1
2020-10-1515:39:06,84,1,1
2020-10-1515:39:07,85,1,1
2020-10-1515:39:07,85,1,1
2020-10-1515:39:07,86,1,1
2020-10-1515:39:08,4,1,1
2020-10-1515:39:08,88,1,1
2020-10-1515:39:08,89,1,1
2020-10-1515:39:09,89,1,1
2020-10-1515:39:09,90,1,1
2020-10-1515:39:09,,1,1
2020-10-1515:39:09,92,1,1
2020-10-1515:39:10,,1,1
2020-10-1515:39:10,14,1,1
2020-10-1515:39:10,,1,1
2020-10-1515:39:11,13,1,1
2020-10-1515:39:11,,1,1
2020-10-1515:39:11,,1,1
2020-10-1515:39:12,,1,1
2020-10-1515:39:12,,1,1
2020-10-1515:39:12,,1,1
2020-10-1515:39:13,,1,1
2020-10-1515:39:13,,1,1
2020-10-1515:39:13,,1,1
2020-10-1515:39:14,,1,1
2020-10-1515:39:14,,1,1
2020-10-1515:39:14,,1,1
2020-10-1515:39:15,97,1,1
2020-10-1515:39:15,97,1,1
2020-10-1515:39:15,97,1,1
2020-10-1515:39:16,,1,1
2020-10-1515:39:16,,1,1
2020-10-1515:39:16,,1,1
2020-10-1515:39:16,,1,1
2020-10-1515:39:17,,1,1
2020-10-1515:39:17,,1,1
2020-10-1515:39:17,,1,1
2020-10-1515:39:18,94,1,1
2020-10-1515:39:18,,1,1
2020-10-1515:39:18,92,1,1
2020-10-1515:39:19,4,1,1
2020-10-1515:39:19,,1,1
2020-10-1515:39:19,90,1,1
2020-10-1515:39:20,90,1,1
2020-10-1515:39:20,89,1,1
2020-10-1515:39:20,88,1,1
2020-10-1515:39:21,,1,1
2020-10-1515:39:21,4,1,1
2020-10-1515:39:21,4,1,1
2020-10-1515:39:22,86,1,1
2020-10-1515:39:22,86,1,1
2020-10-1515:39:22,85,1,1
2020-10-1515:39:23,85,1,1
2020-10-1515:39:23,,1,1
2020-10-1515:39:23,84,1,1
2020-10-1515:39:23,83,1,1
2020-10-1515:39:24,83,1,1
2020-10-1515:39:24,82,1,1
2020-10-1515:39:24,82,1,1
2020-10-1515:39:25,,1,1
2020-10-1515:39:25,,1,1
2020-10-1515:39:25,,1,1
2020-10-1515:39:26,80,1,1
2020-10-1515:39:26,,1,1
2020-10-1515:39:26,,1,1
2020-10-1515:39:27,,1,1
2020-10-1515:39:27,,1,1
2020-10-1515:39:27,82,1,1
2020-10-1515:39:28,4,1,1
2020-10-1515:39:28,,1,1
2020-10-1515:39:28,,1,1
