date_time,speed,lane,auto
2020-10-1515:05:36,90,0,1
2020-10-1515:05:36,90,0,1
2020-10-1515:05:37,90,0,1
2020-10-1515:05:37,90,0,1
2020-10-1515:05:37,89,0,1
2020-10-1515:05:38,89,0,1
2020-10-1515:05:38,90,0,1
2020-10-1515:05:38,90,0,1
2020-10-1515:05:39,90,0,1
2020-10-1515:05:39,90,0,1
2020-10-1515:05:39,90,0,1
2020-10-1515:05:40,90,0,1
2020-10-1515:05:40,90,0,1
2020-10-1515:05:40,90,0,1
2020-10-1515:05:41,,0,1
2020-10-1515:05:41,,0,1
2020-10-1515:05:41,,0,1
2020-10-1515:05:42,,0,1
2020-10-1515:05:42,92,0,1
2020-10-1515:05:42,92,0,1
2020-10-1515:05:42,4,0,1
2020-10-1515:05:43,93,0,1
2020-10-1515:05:43,93,0,1
2020-10-1515:05:43,93,0,1
2020-10-1515:05:44,,0,1
2020-10-1515:05:44,93,0,1
2020-10-1515:05:44,,0,1
2020-10-1515:05:45,94,0,1
2020-10-1515:05:45,,0,1
2020-10-1515:05:45,,0,1
2020-10-1515:05:46,,0,1
2020-10-1515:05:46,,0,1
2020-10-1515:05:46,,0,1
2020-10-1515:05:47,0,0,1
2020-10-1515:05:47,5,0,1
2020-10-1515:05:47,,0,1
2020-10-1515:05:46,95,0,1
2020-10-1515:05:46,5,0,1
2020-10-1515:05:48,,0,1
2020-10-1515:05:49,,0,1
2020-10-1515:05:49,,0,1
2020-10-1515:05:49,5,0,1
2020-10-1515:05:50,5,0,1
2020-10-1515:05:50,5,0,1
2020-10-1515:05:50,95,0,1
2020-10-1515:05:51,95,0,1
2020-10-1515:05:51,95,0,1
2020-10-1515:05:51,6,0,1
2020-10-1515:05:51,,0,1
2020-10-1515:05:52,,0,1
2020-10-1515:05:52,56,0,1
2020-10-1515:05:52,6,0,1
2020-10-1515:05:53,6,0,1
2020-10-1515:05:53,56,0,1
2020-10-1515:05:53,40,0,1
2020-10-1515:05:54,4,0,1
2020-10-1515:05:54,4,0,1
2020-10-1515:05:54,6,0,1
2020-10-1515:05:55,95,0,1
2020-10-1515:05:55,95,0,1
2020-10-1515:05:55,4,0,1
2020-10-1515:05:56,4,0,1
2020-10-1515:05:56,,0,1
2020-10-1515:05:56,,0,1
2020-10-1515:05:57,1,0,1
2020-10-1515:05:57,,0,1
2020-10-1515:05:57,,0,1
2020-10-1515:05:58,,0,1
2020-10-1515:05:58,,0,1
2020-10-1515:05:58,,0,1
2020-10-1515:05:58,98,0,1
2020-10-1515:05:59,98,0,1
2020-10-1515:05:59,98,0,1
2020-10-1515:05:59,98,0,1
2020-10-1515:06:00,98,0,1
2020-10-1515:06:00,98,0,1
2020-10-1515:06:00,,0,1
2020-10-1515:06:01,,0,1
2020-10-1515:06:01,99,0,1
2020-10-1515:06:01,100,0,1
2020-10-1515:06:02,100,0,1
2020-10-1515:06:02,100,0,1
2020-10-1515:06:02,100,0,1
2020-10-1515:06:03,101,0,1
2020-10-1515:06:03,101,0,1
2020-10-1515:06:03,101,0,1
2020-10-1515:06:04,4,0,1
2020-10-1515:06:04,102,0,1
2020-10-1515:06:04,4,0,1
2020-10-1515:06:04,4,0,1
2020-10-1515:06:05,102,0,1
2020-10-1515:06:05,,0,1
2020-10-1515:06:05,,0,1
2020-10-1515:06:06,,0,1
2020-10-1515:06:06,,0,1
2020-10-1515:06:06,103,0,1
2020-10-1515:06:07,103,0,1
2020-10-1515:06:07,102,0,1
2020-10-1515:06:07,102,0,1
2020-10-1515:06:08,102,0,1
2020-10-1515:06:08,0,0,1
2020-10-1515:06:08,0,0,1
2020-10-1515:06:09,101,0,1
2020-10-1515:06:09,101,0,1
2020-10-1515:06:09,101,0,1
2020-10-1515:06:10,101,0,1
2020-10-1515:06:10,101,0,1
2020-10-1515:06:10,101,0,1
2020-10-1515:06:11,101,0,1
2020-10-1515:06:11,101,0,1
2020-10-1515:06:11,100,0,1
2020-10-1515:06:11,100,0,1
2020-10-1515:06:12,100,0,1
2020-10-1515:06:12,100,0,1
2020-10-1515:06:12,100,0,1
2020-10-1515:06:13,100,0,1
2020-10-1515:06:13,100,0,1
2020-10-1515:06:13,100,0,1
2020-10-1515:06:14,100,0,1
2020-10-1515:06:14,100,0,1
2020-10-1515:06:14,100,0,1
2020-10-1515:06:15,100,0,1
2020-10-1515:06:15,100,0,1
2020-10-1515:06:15,100,0,1
2020-10-1515:06:16,100,0,1
2020-10-1515:06:16,100,0,1
2020-10-1515:06:16,100,0,1
2020-10-1515:06:17,100,0,1
2020-10-1515:06:17,100,0,1
2020-10-1515:06:17,100,0,1
2020-10-1515:06:18,100,0,1
2020-10-1515:06:18,100,0,1
2020-10-1515:06:18,100,0,1
2020-10-1515:06:19,100,0,1
2020-10-1515:06:19,100,0,1
2020-10-1515:06:19,100,0,1
2020-10-1515:06:19,100,0,1
2020-10-1515:06:20,100,0,1
2020-10-1515:06:20,100,0,1
2020-10-1515:06:20,100,0,1
2020-10-1515:06:21,100,0,1
2020-10-1515:06:21,100,0,1
2020-10-1515:06:21,100,0,1
2020-10-1515:06:22,100,0,1
2020-10-1515:06:22,100,0,1
2020-10-1515:06:22,100,0,1
2020-10-1515:06:23,100,0,1
2020-10-1515:06:23,100,0,1
2020-10-1515:06:23,100,0,1
2020-10-1515:06:24,100,0,1
2020-10-1515:06:24,100,0,1
2020-10-1515:06:24,100,0,1
2020-10-1515:06:25,100,0,1
2020-10-1515:06:25,100,0,1
2020-10-1515:06:25,100,0,1
2020-10-1515:06:26,100,0,1
2020-10-1515:06:26,100,0,1
2020-10-1515:06:26,100,0,1
2020-10-1515:06:26,100,0,1
2020-10-1515:06:27,100,0,1
2020-10-1515:06:27,100,0,1
2020-10-1515:06:27,100,0,1
2020-10-1515:06:28,100,0,1
2020-10-1515:06:28,100,0,1
2020-10-1515:06:28,100,0,1
2020-10-1515:06:29,100,0,1
2020-10-1515:06:29,100,0,1
2020-10-1515:06:29,100,0,1
2020-10-1515:06:30,100,0,1
2020-10-1515:06:30,100,0,1
2020-10-1515:06:30,100,0,1
2020-10-1515:06:31,,0,1
2020-10-1515:06:31,,0,1
2020-10-1515:06:31,99,0,1
2020-10-1515:06:31,,0,1
2020-10-1515:06:32,99,0,1
2020-10-1515:06:32,,0,1
2020-10-1515:06:33,,0,1
2020-10-1515:06:33,,0,1
2020-10-1515:06:33,99,0,1
2020-10-1515:06:33,99,0,1
2020-10-1515:06:34,99,0,1
2020-10-1515:06:34,99,0,1
2020-10-1515:06:34,,0,1
2020-10-1515:06:35,,0,1
2020-10-1515:06:35,,0,1
2020-10-1515:06:35,,0,1
2020-10-1515:06:36,,0,1
2020-10-1515:06:36,,0,1
2020-10-1515:06:36,,0,1
2020-10-1515:06:37,,0,1
2020-10-1515:06:37,,0,1
2020-10-1515:06:37,,0,1
2020-10-1515:06:38,100,0,1
2020-10-1515:06:38,100,0,1
2020-10-1515:06:38,100,0,1
2020-10-1515:06:39,100,0,1
2020-10-1515:06:39,100,0,1
2020-10-1515:06:39,100,0,1
2020-10-1515:06:39,100,0,1
2020-10-1515:06:40,100,0,1
2020-10-1515:06:40,100,0,1
2020-10-1515:06:40,100,0,1
2020-10-1515:06:41,100,0,1
2020-10-1515:06:41,100,0,1
2020-10-1515:06:41,100,0,1
2020-10-1515:06:42,100,0,1
2020-10-1515:06:42,100,0,1
2020-10-1515:06:42,100,0,1
2020-10-1515:06:43,100,0,1
2020-10-1515:06:43,100,0,1
2020-10-1515:06:43,100,0,1
2020-10-1515:06:44,101,0,1
2020-10-1515:06:44,101,0,1
2020-10-1515:06:44,101,0,1
2020-10-1515:06:45,101,0,1
2020-10-1515:06:45,101,0,1
2020-10-1515:06:45,101,0,1
2020-10-1515:06:46,101,0,1
2020-10-1515:06:46,102,0,1
2020-10-1515:06:46,102,0,1
2020-10-1515:06:46,102,0,1
2020-10-1515:06:47,102,0,1
2020-10-1515:06:47,102,0,1
2020-10-1515:06:47,102,0,1
2020-10-1515:06:48,102,0,1
