date_time,speed,lane,auto
2020-10-1515:21:57,,0,0
2020-10-1515:21:58,,0,0
2020-10-1515:21:58,,0,0
2020-10-1515:21:58,,0,0
2020-10-1515:21:59,93,0,0
2020-10-1515:21:59,,0,0
2020-10-1515:21:59,52,0,0
2020-10-1515:22:00,2,0,0
2020-10-1515:22:00,2,0,0
2020-10-1515:22:00,2,0,0
2020-10-1515:22:00,2,0,0
2020-10-1515:22:01,92,0,0
2020-10-1515:22:01,92,0,0
2020-10-1515:22:01,92,0,0
2020-10-1515:22:02,92,0,0
2020-10-1515:22:02,92,0,0
2020-10-1515:22:02,92,0,0
2020-10-1515:22:03,92,0,0
2020-10-1515:22:03,4,0,0
2020-10-1515:22:03,4,0,0
2020-10-1515:22:04,4,0,0
2020-10-1515:22:04,53,0,0
2020-10-1515:22:04,53,0,0
2020-10-1515:22:05,53,0,0
2020-10-1515:22:05,53,0,0
2020-10-1515:22:05,54,0,0
2020-10-1515:22:06,54,0,0
2020-10-1515:22:06,54,0,0
2020-10-1515:22:06,,0,0
2020-10-1515:22:07,,0,0
2020-10-1515:22:07,,0,0
2020-10-1515:22:07,,0,0
2020-10-1515:22:07,,0,0
2020-10-1515:22:08,,0,0
2020-10-1515:22:08,,0,0
2020-10-1515:22:08,,0,0
2020-10-1515:22:09,8,0,0
2020-10-1515:22:09,60,0,0
2020-10-1515:22:09,60,0,0
2020-10-1515:22:10,61,0,0
2020-10-1515:22:10,61,0,0
2020-10-1515:22:10,61,0,0
2020-10-1515:22:11,62,0,0
2020-10-1515:22:11,62,0,0
2020-10-1515:22:11,62,0,0
2020-10-1515:22:12,62,0,0
2020-10-1515:22:12,63,0,0
2020-10-1515:22:12,63,0,0
2020-10-1515:22:13,63,0,0
2020-10-1515:22:13,68,0,0
2020-10-1515:22:13,64,0,0
2020-10-1515:22:14,64,0,0
2020-10-1515:22:14,65,0,0
2020-10-1515:22:14,65,0,0
2020-10-1515:22:14,65,0,0
2020-10-1515:22:15,65,0,0
2020-10-1515:22:15,65,0,0
2020-10-1515:22:15,65,0,0
2020-10-1515:22:16,65,0,0
2020-10-1515:22:16,65,0,0
2020-10-1515:22:16,65,0,0
2020-10-1515:22:17,,0,0
2020-10-1515:22:17,66,0,0
2020-10-1515:22:17,66,0,0
2020-10-1515:22:18,66,0,0
2020-10-1515:22:18,66,0,0
2020-10-1515:22:18,,0,0
2020-10-1515:22:19,,0,0
2020-10-1515:22:19,64,0,0
2020-10-1515:22:19,,0,0
2020-10-1515:22:20,68,0,0
2020-10-1515:22:20,69,0,0
2020-10-1515:22:20,69,0,0
2020-10-1515:22:21,69,0,0
2020-10-1515:22:21,40,0,0
2020-10-1515:22:21,70,0,0
2020-10-1515:22:21,,0,0
2020-10-1515:22:22,,0,0
2020-10-1515:22:22,71,0,0
2020-10-1515:22:22,71,0,0
2020-10-1515:22:23,,0,0
2020-10-1515:22:23,71,0,0
2020-10-1515:22:23,71,0,0
2020-10-1515:22:24,72,0,0
2020-10-1515:22:24,72,0,0
2020-10-1515:22:24,72,0,0
2020-10-1515:22:25,73,0,0
2020-10-1515:22:25,,0,0
2020-10-1515:22:25,75,0,0
2020-10-1515:22:26,75,0,0
2020-10-1515:22:26,76,0,0
2020-10-1515:22:26,77,1,0
2020-10-1515:22:27,78,1,0
2020-10-1515:22:27,79,1,0
2020-10-1515:22:27,79,1,0
2020-10-1515:22:28,80,1,0
2020-10-1515:22:28,,1,0
2020-10-1515:22:28,,1,0
2020-10-1515:22:28,82,1,0
2020-10-1515:22:29,83,1,0
2020-10-1515:22:29,84,1,0
2020-10-1515:22:29,85,1,0
2020-10-1515:22:30,85,1,0
2020-10-1515:22:30,86,1,0
2020-10-1515:22:30,4,1,0
2020-10-1515:22:31,88,1,0
2020-10-1515:22:31,88,0,0
2020-10-1515:22:31,89,0,0
2020-10-1515:22:32,90,0,0
2020-10-1515:22:32,48,0,0
2020-10-1515:22:32,91,0,0
2020-10-1515:22:33,92,0,0
2020-10-1515:22:33,,0,0
2020-10-1515:22:33,,0,0
2020-10-1515:22:34,94,0,1
2020-10-1515:22:34,,0,1
