date_time,speed,lane,auto,lane_white_avg,lane_green_avg,auto_white_avg,auto_green_avg
2020-10-0610:45:20,28,0,0,3.3418,0,0,0
2020-10-0610:45:21,20,0,0,3.1986,0,0,0
2020-10-0610:45:21,21,0,0,3.2623,0,0,0
2020-10-0610:45:22,,0,0,3.4163,0,0,0
2020-10-0610:45:22,,0,0,3.6999,0,0,0
2020-10-0610:45:22,25,0,0,3.4428,0,0,0
2020-10-0610:45:22,26,0,0,4.2068,0,0,0
2020-10-0610:45:23,27,0,0,4.235,0,0,0
2020-10-0610:45:23,28,0,0,4.5873,0,0,0
2020-10-0610:45:23,29,0,0,2.7418,0,0,0
2020-10-0610:45:24,,0,0,2.8664,0,0,0
2020-10-0610:45:24,18,0,0,2.6862,0,0,0
2020-10-0610:45:24,,0,0,1.0202,0,0,0
2020-10-0610:45:25,32,0,0,0.9576,0,0,0
2020-10-0610:45:25,,0,0,0.888,0,0,0
2020-10-0610:45:25,33,0,0,3.9227,0,0,0
2020-10-0610:45:26,34,0,0,3.8976,0,0,0
2020-10-0610:45:26,35,0,0,3.5841,0,0,0
2020-10-0610:45:26,35,0,0,4.4577,0,0,0
2020-10-0610:45:27,36,0,0,4.5693,0,0,0
2020-10-0610:45:27,36,0,0,0.9976,0,0,0
2020-10-0610:45:27,37,0,0,0,0,0,0
2020-10-0610:45:28,38,0,0,1.9294,0,0,0
2020-10-0610:45:28,,0,0,1.677,0,0,0
2020-10-0610:45:28,39,0,0,0.9619,0,0,0
2020-10-0610:45:29,,0,0,0.9791,0,0,0
2020-10-0610:45:29,40,0,0,4.3366,0,0,0
2020-10-0610:45:29,40,0,0,6.7488,0,0,0
2020-10-0610:45:30,41,0,0,3.691,0,0,0
2020-10-0610:45:30,42,0,0,2.7553,0,0,0
2020-10-0610:45:30,4,0,0,2.8115,0,0,0
2020-10-0610:45:31,4,0,0,2.0689,0,0,0
2020-10-0610:45:31,,0,0,1.9537,0,0,0
2020-10-0610:45:32,43,0,0,2.9986,0,0,0
2020-10-0610:45:32,,0,0,1.5809,0,0,0
2020-10-0610:45:32,,0,0,0.617,0,0,0
2020-10-0610:45:32,43,0,0,1.1076,0,0,0
2020-10-0610:45:33,,0,0,1.2377,0,0,0
2020-10-0610:45:33,,0,0,1.21,0,0,0
2020-10-0610:45:33,,0,0,3.2417,0,0,0
2020-10-0610:45:34,,0,0,3.075,0,0,0
2020-10-0610:45:34,,0,0,3.1357,0,0,0
2020-10-0610:45:34,,0,0,5.9781,0,0,0
2020-10-0610:45:35,44,0,0,2.4063,0,0,0
2020-10-0610:45:35,44,0,0,2.0214,0,0,0
2020-10-0610:45:36,,0,0,3.0976,0,0,0
2020-10-0610:45:36,,0,0,2.8308,0,0,0
2020-10-0610:45:36,,0,0,3.009,0,0,0
2020-10-0610:45:37,,0,0,1.6984,0,0,0
2020-10-0610:45:37,45,0,0,3.0047,0,0,0
2020-10-0610:45:37,45,0,0,0.7015,0,0,0
2020-10-0610:45:38,,0,0,3.4399,0,0,0
2020-10-0610:45:38,,0,0,3.9495,0,0,0
2020-10-0610:45:38,45,0,0,4.1044,0,0,0
2020-10-0610:45:38,45,1,0,4.795,0.1043,0,0
2020-10-0610:45:39,,0,0,1.4582,0,0,0
2020-10-0610:45:39,,0,0,1.3928,0,0,0
2020-10-0610:45:39,,0,0,2.9919,0,0,0
2020-10-0610:45:40,,0,0,2.9557,0,0,0
2020-10-0610:45:40,43,0,0,3.2361,0,0,0
2020-10-0610:45:41,43,0,0,4.3843,0,0,0
2020-10-0610:45:41,42,0,0,3.6771,0,0,0
2020-10-0610:45:41,42,0,0,0.0595,0,0,0
2020-10-0610:45:42,42,0,0,1.1773,0,0,0
2020-10-0610:45:42,42,0,0,1.1085,0,0,0
