date_time,condition,speed,lane,auto,lane_white_avg,lane_green_avg,auto_white_avg,auto_green_avg
2020-10-0610:43:54,normal,,1,0,1.085649718,9.25905838,0,0
2020-10-0610:43:55,normal,,1,0,1.186967985,9.398568738,0,0
2020-10-0610:43:55,normal,61,1,0,0.8036911488,9.383653484,0,0
2020-10-0610:43:55,normal,61,1,0,0.7755178908,9.43299435,0,0
2020-10-0610:43:54,normal,,1,0,1.23826742,9.210169492,0,0
2020-10-0610:43:55,normal,61,1,0,1.16165725,9.385988701,0,0
2020-10-0610:43:55,normal,61,1,0,0.829905838,9.378681733,0,0
2020-10-0610:43:55,normal,61,1,0,0.7475706215,9.439020716,0,0
2020-10-0610:43:55,normal,,1,0,0.7143502825,9.448888889,0,0
2020-10-0610:43:55,normal,61,1,0,0.1586440678,9.607758945,0,0
2020-10-0610:43:56,normal,67,1,0,0.02787193974,9.647758945,0,0
2020-10-0610:43:56,normal,,1,0,0.0804519774,9.800979284,0,0
2020-10-0610:43:56,normal,61,1,0,0.1078719397,9.833295669,0,0
2020-10-0610:43:56,normal,,1,0,0.0786440678,9.901996234,0,0
2020-10-0610:43:56,normal,61,1,0,0,9.924067797,0,0
2020-10-0610:43:57,normal,,1,0,0.02711864407,9.593220339,0,0
2020-10-0610:43:57,normal,,1,0,0,9.578983051,0,0
2020-10-0610:43:57,normal,61,1,0,0,9.685800377,0,0
2020-10-0610:43:57,normal,61,1,0,0,9.664256121,0,0
2020-10-0610:43:57,normal,,1,0,0,9.750056497,0,0
2020-10-0610:43:58,normal,,1,0,0,9.100263653,0,0
2020-10-0610:43:58,normal,,1,0,0,8.951111111,0,0
2020-10-0610:43:58,normal,61,1,0,0,8.434877589,0,0
2020-10-0610:43:58,normal,67,1,0,0,8.061167608,0,0
2020-10-0610:43:58,normal,,1,0,0,7.948248588,0,0
2020-10-0610:43:59,normal,67,1,0,0,7.907721281,0,0
2020-10-0610:43:59,normal,67,1,0,0,7.870433145,0,0
2020-10-0610:43:59,normal,61,1,0,0,7.813107345,0,0
2020-10-0610:43:59,normal,61,1,0,0,7.790131827,0,0
2020-10-0610:43:59,normal,61,1,0,0,7.89905838,0,0
2020-10-0610:44:00,normal,61,1,0,0,7.931450094,0,0
2020-10-0610:44:00,normal,61,1,0,0,7.933258004,0,0
2020-10-0610:44:00,normal,617,1,0,0,7.869755179,0,0
2020-10-0610:44:00,normal,61,1,0,0,7.832015066,0,0
