date,time,speed,lane,auto
2020-10-06,11:25:03,48,1,0
2020-10-06,11:25:03,48,1,0
2020-10-06,11:25:03,48,1,0
2020-10-06,11:25:03,48,1,0
2020-10-06,11:25:03,48,1,0
2020-10-06,11:25:03,8,1,0
2020-10-06,11:25:03,48,1,0
2020-10-06,11:25:03,48,1,0
2020-10-06,11:25:03,90,1,0
2020-10-06,11:25:03,90,1,0
2020-10-06,11:25:03,48,1,0
2020-10-06,11:25:03,46,1,0
2020-10-06,11:25:03,90,1,0
2020-10-06,11:25:03,48,1,0
2020-10-06,11:25:03,90,1,0
2020-10-06,11:25:03,,1,0
2020-10-06,11:25:03,,1,0
2020-10-06,11:25:03,97,1,0
2020-10-06,11:25:03,,1,0
2020-10-06,11:25:03,,1,0
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,0
2020-10-06,11:25:04,97,1,0
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,77,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,97,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,0
2020-10-06,11:25:04,,1,0
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,0
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,11:25:04,,1,1
2020-10-06,,,1,1
2020-10-06,11:25:05,,1,1
2020-10-06,11:25:05,,1,1
2020-10-06,11:25:05,,1,1
